total_repos,30
total_estrelas,84
ansible-lab,21
30-dias-de-python,17
apoios,6
behave-report,5
behave-validator,5
Elixir,1
Python,18
Desconhecido,5
Shell,1
C,1
Gherkin,1
HTML,3
